a_cov_blpr,a_cov_hdi,a_cov_dlasso,a_cov_silm,a_cov_rr,sc_a_cov_rr,a_len_blpr,a_len_hdi,a_len_dlasso,a_len_silm,a_len_rr,sc_a_len_rr,n_cov_blpr,n_cov_hdi,n_cov_dlasso,n_cov_silm,n_cov_rr,sc_n_cov_rr,n_len_blpr,n_len_hdi,n_len_dlasso,n_len_silm,n_len_rr,sc_n_len_rr,s,x,b,e,g,n_draws,n_solve
0.56,0.926666667,0.78,0.953333333,0.906666667,0.92,1.096573387,1.563930793,1.221346037,1.711462768,1.761648311,1.834562534,0.926666667,0.96,0.993333333,0.956,0.956,0.966666667,0.256366734,1.533545679,1.230393539,1.686639765,1.728032874,1.79979892,3,TGM,D1,HMG,perm,1000,500
0.5,0.926666667,0.78,0.96,0.926666667,0.933333333,1.052767667,1.701791959,1.221346037,1.711950791,1.818620845,1.893548133,0.94,0.968,0.993333333,0.961333333,0.948,0.958666667,0.260871329,1.520066255,1.230393539,1.685418688,1.715742213,1.787192362,3,TGM,D1,HMG,sign,1000,500
0.946666667,0.906666667,0.78,0.953333333,0.913333333,0.913333333,0.703979256,0.631844012,0.530837514,0.697553763,0.70749076,0.738415203,0.921333333,0.958666667,0.990666667,0.956,0.952,0.968,0.102502139,0.550839593,0.530047831,0.686100666,0.693393204,0.723662058,3,TGM,D1,N1,perm,1000,500
0.94,0.926666667,0.78,0.953333333,0.9,0.906666667,0.689105963,0.656701743,0.530837514,0.697716287,0.723881487,0.755337971,0.932,0.950666667,0.990666667,0.954666667,0.965333333,0.969333333,0.101836252,0.536084409,0.530047831,0.685625349,0.693661184,0.724009927,3,TGM,D1,N1,sign,1000,500
0.56,0.9,0.786666667,0.94,0.913333333,0.913333333,1.080409078,1.422385543,1.130406595,1.578049104,1.623902795,1.687697655,0.946666667,0.966666667,0.990666667,0.964,0.957333333,0.968,0.236841425,1.392510005,1.138782441,1.555044503,1.591888313,1.654995722,3,TGM,D1,N2,perm,1000,500
0.573333333,0.906666667,0.786666667,0.94,0.913333333,0.94,1.091511204,1.554463678,1.130406595,1.578424453,1.688040148,1.754284448,0.944,0.961333333,0.990666667,0.966666667,0.952,0.954666667,0.240543143,1.387493975,1.138782441,1.5539059,1.590983367,1.654251046,3,TGM,D1,N2,sign,1000,500
0.928,0.94,0.966,0.904,0.9,0.93,0.441361685,0.449328001,0.767685444,1.008239867,0.606536965,0.657716364,0.926666667,0.948,0.997333333,0.924,0.958666667,0.973333333,0.095632841,0.324117891,0.767577218,1.001903896,0.607066349,0.658322869,10,G1,D1,G1,perm,1000,500
0.828,0.842,0.906,0.966,0.924,0.944,0.622552024,0.600479412,0.78169458,1.020701884,0.863845274,0.93140253,0.873333333,0.952,0.994666667,0.977333333,0.953333333,0.969333333,0.137067815,0.48181602,0.780952055,1.019493426,0.867165163,0.934923711,10,G1,D1,HG,perm,1000,500
0.82,0.832,0.906,0.964,0.922,0.946,0.61174911,0.613056968,0.78169458,1.020667485,0.900980503,0.97143254,0.894666667,0.949333333,0.994666667,0.98,0.96,0.976,0.135966478,0.47621331,0.780952055,1.018656443,0.848335685,0.914641921,10,G1,D1,HG,sign,1000,500
0.592,0.882,0.924,0.966,0.92,0.932,0.851171131,1.208158444,1.285389863,1.538861572,1.353507338,1.434343107,0.9,0.965333333,0.989333333,0.976,0.964,0.972,0.259514018,1.183996778,1.286204929,1.535040027,1.356871531,1.438070177,10,G1,D1,HMG,perm,1000,500
